Section Title (EN),Section Title (RU),Section Title (CIR),Notes (EN),Notes (RU),Notes (CIR),Text (EN),Text (RU),Text (CIR),Text (UK),Text (UZB)
Lights,Фары,Лайтс,,,,"None broken, cracked, or missing","Ничего не сломано, не треснуто или отсутствует","Нан броукэн, крэкд, ор миссин",,
Lights,Фары,Лайтс,,,,Working and proper color of amber,Рабочие и надлежащего янтарного цвета,Воркин энд пропэр калар оф эмбер,,
Header Board,Перегородка,Хэдер борд,,,,No holes or missing rivets,Нет отверстий или недостающих заклепок,Но хоулс ор миссин ривэтс,,
